C000  4C F5 C5  JMP $C5F5                       A:00 X:00 Y:00 P:24 SP:FD CYC:0
C5F5  A2 00     LDX #$00                        A:00 X:00 Y:00 P:24 SP:FD CYC:3
C5F7  86 00     STX $00 = 00                    A:00 X:00 Y:00 P:26 SP:FD CYC:5
C5F9  86 10     STX $10 = 00                    A:00 X:00 Y:00 P:26 SP:FD CYC:8
C5FB  86 11     STX $11 = 00                    A:00 X:00 Y:00 P:26 SP:FD CYC:11
C5FD  20 2D C7  JSR $C72D                       A:00 X:00 Y:00 P:26 SP:FD CYC:14
C72D  EA        NOP                             A:00 X:00 Y:00 P:26 SP:FB CYC:20
C72E  38        SEC                             A:00 X:00 Y:00 P:26 SP:FB CYC:22
C72F  B0 04     BCS $C735                       A:00 X:00 Y:00 P:27 SP:FB CYC:24
C735  EA        NOP                             A:00 X:00 Y:00 P:27 SP:FB CYC:26
C736  18        CLC                             A:00 X:00 Y:00 P:27 SP:FB CYC:28
C737  B0 03     BCS $C73C                       A:00 X:00 Y:00 P:26 SP:FB CYC:30
C739  4C 40 C7  JMP $C740                       A:00 X:00 Y:00 P:26 SP:FB CYC:32
C740  EA        NOP                             A:00 X:00 Y:00 P:26 SP:FB CYC:35
C741  38        SEC                             A:00 X:00 Y:00 P:26 SP:FB CYC:37
C742  90 03     BCC $C747                       A:00 X:00 Y:00 P:27 SP:FB CYC:39
C744  4C 4B C7  JMP $C74B                       A:00 X:00 Y:00 P:27 SP:FB CYC:41
C74B  EA        NOP                             A:00 X:00 Y:00 P:27 SP:FB CYC:44
C74C  18        CLC                             A:00 X:00 Y:00 P:27 SP:FB CYC:46
C74D  90 04     BCC $C753                       A:00 X:00 Y:00 P:26 SP:FB CYC:48
C753  EA        NOP                             A:00 X:00 Y:00 P:26 SP:FB CYC:50
C754  A9 00     LDA #$00                        A:00 X:00 Y:00 P:26 SP:FB CYC:52
C756  F0 04     BEQ $C75C                       A:00 X:00 Y:00 P:26 SP:FB CYC:54
C75C  EA        NOP                             A:00 X:00 Y:00 P:26 SP:FB CYC:56
C75D  A9 40     LDA #$40                        A:00 X:00 Y:00 P:26 SP:FB CYC:58
C75F  F0 03     BEQ $C764                       A:40 X:00 Y:00 P:24 SP:FB CYC:60
C761  4C 68 C7  JMP $C768                       A:40 X:00 Y:00 P:24 SP:FB CYC:62
C768  EA        NOP                             A:40 X:00 Y:00 P:24 SP:FB CYC:65
C769  A9 40     LDA #$40                        A:40 X:00 Y:00 P:24 SP:FB CYC:67
C76B  D0 04     BNE $C771                       A:40 X:00 Y:00 P:24 SP:FB CYC:69
C771  EA        NOP                             A:40 X:00 Y:00 P:24 SP:FB CYC:71
C772  A9 00     LDA #$00                        A:40 X:00 Y:00 P:24 SP:FB CYC:73
C774  D0 03     BNE $C779                       A:00 X:00 Y:00 P:26 SP:FB CYC:75
C776  4C 7D C7  JMP $C77D                       A:00 X:00 Y:00 P:26 SP:FB CYC:77
C77D  EA        NOP                             A:00 X:00 Y:00 P:26 SP:FB CYC:80
C77E  A9 FF     LDA #$FF                        A:00 X:00 Y:00 P:26 SP:FB CYC:82
C780  85 01     STA $01 = 00                    A:FF X:00 Y:00 P:A4 SP:FB CYC:84
C782  24 01     BIT $01 = FF                    A:FF X:00 Y:00 P:A4 SP:FB CYC:87
C784  70 04     BVS $C78A                       A:FF X:00 Y:00 P:E4 SP:FB CYC:90
C78A  EA        NOP                             A:FF X:00 Y:00 P:E4 SP:FB CYC:92
C78B  24 01     BIT $01 = FF                    A:FF X:00 Y:00 P:E4 SP:FB CYC:94
C78D  50 03     BVC $C792                       A:FF X:00 Y:00 P:E4 SP:FB CYC:97
C78F  4C 96 C7  JMP $C796                       A:FF X:00 Y:00 P:E4 SP:FB CYC:99
C796  EA        NOP                             A:FF X:00 Y:00 P:E4 SP:FB CYC:102
C797  A9 00     LDA #$00                        A:FF X:00 Y:00 P:E4 SP:FB CYC:104
C799  85 01     STA $01 = FF                    A:00 X:00 Y:00 P:66 SP:FB CYC:106
C79B  24 01     BIT $01 = 00                    A:00 X:00 Y:00 P:66 SP:FB CYC:109
C79D  50 04     BVC $C7A3                       A:00 X:00 Y:00 P:26 SP:FB CYC:112
C7A3  EA        NOP                             A:00 X:00 Y:00 P:26 SP:FB CYC:114
C7A4  24 01     BIT $01 = 00                    A:00 X:00 Y:00 P:26 SP:FB CYC:116
C7A6  70 03     BVS $C7AB                       A:00 X:00 Y:00 P:26 SP:FB CYC:119
C7A8  4C AF C7  JMP $C7AF                       A:00 X:00 Y:00 P:26 SP:FB CYC:121
C7AF  EA        NOP                             A:00 X:00 Y:00 P:26 SP:FB CYC:124
C7B0  A9 00     LDA #$00                        A:00 X:00 Y:00 P:26 SP:FB CYC:126
C7B2  10 04     BPL $C7B8                       A:00 X:00 Y:00 P:26 SP:FB CYC:128
C7B8  EA        NOP                             A:00 X:00 Y:00 P:26 SP:FB CYC:130
C7B9  A9 80     LDA #$80                        A:00 X:00 Y:00 P:26 SP:FB CYC:132
C7BB  10 03     BPL $C7C0                       A:80 X:00 Y:00 P:A4 SP:FB CYC:134
